Product Category*,Product Sub Category*,Product Name*,Brand Name*,Variant Name,Net Quantity*,Active Ingredients*,Gender*,Age Group*,Product Claims*,Warnings / Precautions*,Product Description*,Storage Condition*,Manufacturer Name*,Country of Origin*,Certifications / Compliance*,Pack Type,Unit Per Pack,Number Of Packs,Minimum Order Qty*,Max Order Qty*,Batch Number*,Manufacturing Date*,Expiry Date*,Stock Quantity*,MRP (INR)*,Selling Price(INR)*,Discount %,GST %,HSN Code*,Intended Use Area*,Hair Type,Skin Type,Net Quantity Unit*,Product Form*,Additional Discount,,,,,,,Additional Discount (Optional),,,,,,,Additional Discount (Optional),,,,,,,Additional Discount (Optional),,,,,,,Product Image URL*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,
