Therapeutic Category*,Therapeutic Sub Category*,Product Name*,Molecule* (comma separated),Dosage Form*,"Strength*
(e.g. 500mg,125mg — comma separated, maps to each molecule)",Warnings / Precautions*,Product Description*,Manufacture Name,Pack Type,Unit Per Pack,Number Of Packs,Pack Size (Auto),Minimum Order Qty*,Max Order Qty*,Batch / Lot Number*,Manufacturing Date*,Expiry Date*,Storage Condition*,Stock Quantity*,Date of Entry*,MRP (INR)*,Selling Price(INR)*,Discount %,GST %,HSN Code*,Shelf Life Months,Additional Discount,,,,,,,Additional Discount (Optional),,,,,,,Additional Discount (Optional),,,,,,,Additional Discount (Optional),,,,,,,Product Image URL*,Product Marketing URL
,,,,,,,,,,,,,,,,,,,,,,,,,,,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,,
