Device Category*,Device Sub Category*,Product Name*,Brand Name*,Size / Dimension / Gauge*,Sterile / Non-Sterile*,Disposable / Reusable* ,Intended Use / Purpose* ,Key Features / Technical Specifications* ,Safety Instructions  / Precautions*,Certifications / Compliance* ,Material / Build Type* ,Country of Origin* ,Manufacture Name*,Product Description*,Storage Condition (if applicable),Pack Type,Unit Per Pack,Number Of Packs,Pack Size (Auto),Minimum Order Qty*,Max Order Qty*,Batch Number*,Manufacturing Date*,Expiry Date*,Stock Quantity*,Date of Entry*,MRP (INR)*,Selling Price(INR)*,Discount %,GST %,HSN Code*,Additional Discount,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Additional Discount (Optional),Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Additional Discount (Optional).1,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Additional Discount (Optional).2,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Product Image URL*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,
