Device Category*,Device Sub Category*,Product Name*,Brand Name*,Model Name* ,Model Number* ,Device Classification (Class A/B/C/D)* ,UDI (Unique Device Identification)/Serial Number ,Intended Use / Purpose* ,Key Features / Technical Specifications* ,Safety Instructions  / Precautions*,Certifications / Compliance* ,Material / Build Type* ,Power Source ,Warranty Period (in months)* ,AMC / Service Availability* (Yes/No) ,Country of Origin* ,Manufacture Name*,Product Description*,Storage Condition (if applicable),Pack Type,Unit Per Pack,Number Of Packs,Pack Size (Auto),Minimum Order Qty*,Max Order Qty*,Manufacturing Date*,Stock Quantity*,Date of Entry*,MRP (INR)*,Selling Price(INR)*,Discount %,GST %,HSN Code*,Additional Discount,,,,,,,Additional Discount (Optional),,,,,,,Additional Discount (Optional),,,,,,,Additional Discount (Optional),,,,,,,Product Image URL*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,Slab,Minimum Purchase Quantity, Discount percentage,Effective Start Date,Effective Start Time,Effective End Date,Effective End Time,
